番号,回,区分,ID,設問,選択肢1(a),選択肢2(b),選択肢3(c),選択肢4(d),選択肢5(e),正答(K列),正答解析値(L列),正答テキスト(M列)
44,75,A,75-A-044,血栓に関する記述として最も適切なのはどれか。,白色血栓は止血の機序とほぼ同様の過程により形成される。,赤色血栓は大部分が赤血球と血小板から構成される。,心内膜炎でみられる壁在性血栓は赤色血栓である。,混合血栓は赤色血栓にフィブリンが堆積することによって生じる。,フィブリン(硝子)血栓は弾性型動脈で形成される。,1,1,白色血栓は止血の機序とほぼ同様の過程により形成される。
45,75,A,75-A-045,特定の血液型に対して自然抗体を持つ動物はどれか。（2つ選びなさい。）,馬,犬,豚,牛,めん羊,3,"2, 3","犬,豚"
46,75,A,75-A-046,グラム陽性菌による牛の感染症はどれか。,壊死桿菌症,大腸菌症,ヒストフィルス・ソムニ感染症,パスツレラ症,腎盂腎炎,5,5,腎盂腎炎
47,75,A,75-A-047,細胞における増殖過程で暗黒期と潜伏期が一致するウイルスはどれか。,犬アデノウイルス,リフトバレー熱ウイルス,A型鳥インフルエンザウイルス,牛ヘルペスウイルス,鶏脳脊髄炎ウイルス,3,3,A型鳥インフルエンザウイルス
48,75,A,75-A-048,ウイルスの細胞変性効果として誤っているのはどれか。,分化,萎縮,多核巨細胞形成,溶解,円形化,1,1,分化
49,75,A,75-A-049,レオウイルス科のウイルスに関する記述として正しいのはどれか。,成熟粒子はエンベロープを有する。,ウイルスゲノムは1本鎖DNAである。,魚類は宿主に含まれない。,遺伝子再集合を起こす。,産業動物への感染は報告されていない。,4,4,遺伝子再集合を起こす。
50,75,A,75-A-050,"高病原性鳥インフルエンザの原因ウイルスとして野外で確認されているHA
亜型はH5のほかにどれか。",H1,H3,H7,H9,H11,3,3,H7
52,75,A,75-A-052,染色体を複数保有する菌種はどれか。（2つ選びなさい。）,Avibacterium gallinarum,Bordetella bronchiseptica,Brucella melitensis,Vibrio cholerae,Yersinia pestis,4,"3, 4","Brucella melitensis,Vibrio cholerae"
53,75,A,75-A-053,無隔菌糸を形成する真菌群はどれか。,Aspergillus属,Cryptococcus属,Pneumocystis属,Saccharomyces属,Rhizopus属,5,5,Rhizopus属
54,75,A,75-A-054,産卵鶏に多発する骨の疾患はどれか。,化膿性骨髄炎,脛骨軟骨異形成症,捻転脚,脊椎滑り症,骨粗鬆症,5,5,骨粗鬆症
55,75,A,75-A-055,生活環においてレジア期がある吸虫はどれか。（2つ選びなさい。）,横川吸虫(Metagonimus yokogawai),槍形吸虫(Dicrocoelium dendriticum),膵蛭(Eurytrema pancreaticum),日本住血吸虫(Schistosoma japonicum),ウェステルマン肺吸虫(Paragonimus westermani),2,"1, 5","横川吸虫(Metagonimus yokogawai),ウェステルマン肺吸虫(Paragonimus westermani)"
56,75,A,75-A-056,経皮感染するのはどれか。（2つ選びなさい。）,犬鉤虫(Ancylostoma caninum),乳頭糞線虫(Strongyloides papillosus),猫回虫(Toxocara cati),馬円虫(Strongylus equinus),鶏盲腸虫(Heterakis gallinarum),1,"1, 2","犬鉤虫(Ancylostoma caninum),乳頭糞線虫(Strongyloides papillosus)"
57,75,A,75-A-057,シスト(囊子型)を形成するのはどれか。（2つ選びなさい。）,ランブル鞭毛虫(Giardia intestinalis),小型ピロプラズマ(Theileria orientalis),ヒストモナス(Histomonas meleagridis),牛生殖器トリコモナス(Tritrichomonas foetus),赤痢アメーバ(Entamoeba histolytica),2,"1, 5","ランブル鞭毛虫(Giardia intestinalis),赤痢アメーバ(Entamoeba histolytica)"
58,75,A,75-A-058,虫卵に卵蓋(小蓋)があるのはどれか。（2つ選びなさい。）,マンソン裂頭条虫(Spirometra erinaceieuropaei),有線条虫(Mesocestoides lineatus),多包条虫(Echinococcus multilocularis),日本住血吸虫(Schistosoma japonicum),肝吸虫(Clonorchis sinensis),2,"1, 5","マンソン裂頭条虫(Spirometra erinaceieuropaei),肝吸虫(Clonorchis sinensis)"
59,75,A,75-A-059,胎盤感染しないのはどれか。,犬小回虫(Toxascaris leonina),豚腎虫(Stephanurus dentatus),日本産肝蛭( Fasciola sp.),日本住血吸虫(Schistosoma japonicum),ネオスポラ(Neospora caninum),1,1,犬小回虫(Toxascaris leonina)
60,75,A,75-A-060,"寄生虫と中間宿主の組合せとして正しいのはどれか。
寄生虫　－　中間宿主",(指状糸状虫(Setaria digitata) - ヌカカ),(肝蛭(Fasciola hepatica) - ヒラマキガイ類),(大口馬胃虫(Draschia megastoma) - サシチョウバエ),(無鉤条虫(Taenia saginata) - 豚),(葉状条虫(Anoplocephala perfoliata) - ササラダニ類),5,5,(葉状条虫(Anoplocephala perfoliata) - ササラダニ類)
61,75,A,75-A-061,蔗糖(砂糖)遠心浮遊法による検査が適当なのはどれか。（2つ選びなさい。）,旋毛虫(Trichinella spiralis),日本住血吸虫(Schistosoma japonicum),犬鉤虫(Ancylostoma caninum),捻転胃虫(Haemonchus contortus),犬糸状虫(Dirofilaria immitis),4,"3, 4","犬鉤虫(Ancylostoma caninum),捻転胃虫(Haemonchus contortus)"
62,75,A,75-A-062,組換えDNA技術応用食品の製造基準を定めている法律はどれか。,「食品表示法」,「食品安全基本法」,「食品衛生法」,「遺伝子組換え生物等の使用等の規制による生物の多様性の確保に関する法,「医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律(薬,3,3,「食品衛生法」
63,75,A,75-A-063,狂犬病予防員の役割として最も適切なのはどれか。（2つ選びなさい。）,犬の登録申請を受理し、飼い主に鑑札を交付する。,狂犬病予防注射を受けた犬の飼い主に注射済票を交付する。,狂犬病の疑いのある犬を隔離するために必要な指示をする。,鑑札を着けていない犬を発見した場合に抑留する。,動物取扱業者に対し適切な飼養方法を指導する。,4,"3, 4","狂犬病の疑いのある犬を隔離するために必要な指示をする。,鑑札を着けていない犬を発見した場合に抑留する。"
64,75,A,75-A-064,"「動物の愛護及び管理に関する法律(動物愛護管理法)」に関する記述として
誤っているのはどれか。",獣医師は業務上虐待を受けたと思われる動物を発見した場合には、都道府県,犬猫等販売業者は取得した犬または猫にマイクロチップを装着しなければな,特定動物はヒトの生命、身体または財産に被害を加えるおそれがある動物で,現在、愛玩目的での特定動物の新たな飼養は禁止されている。,愛護動物のネグレクトは処罰対象外である。,5,5,愛護動物のネグレクトは処罰対象外である。
65,75,A,75-A-065,"「家畜伝染病予防法」と「家畜伝染病予防法施行令」における豚熱の規定に関
する記述として誤っているのはどれか。",対象動物は豚、イノシシである。,家畜伝染病である。,疑似患畜はとさつの義務の対象外である。,豚熱のワクチンの使用時には都道府県知事の許可が必要である。,輸入検疫の対象感染症である。,3,3,疑似患畜はとさつの義務の対象外である。
66,75,A,75-A-066,動物検疫所における業務の根拠となる法律はどれか。（2つ選びなさい。）,「獣医療法」,「狂犬病予防法」,「家畜伝染病予防法」,「食品衛生法」,「検疫法」,3,"2, 3","「狂犬病予防法」,「家畜伝染病予防法」"
67,75,A,75-A-067,家畜防疫員の業務に関する記述として正しいのはどれか。,と畜場でと畜検査を行う。,都道府県で家畜伝染病のまん延防止に関わる業務に従事する。,家畜伝染病の侵入防止のため主に動物の輸入検疫に従事する。,動物感染症の研究を行うことによって国の動物衛生行政を支援する。,動物医薬品検査所で動物用医薬品の承認審査を行う。,2,2,都道府県で家畜伝染病のまん延防止に関わる業務に従事する。
68,75,A,75-A-068,犬で多飲多尿を呈する疾患として適当でないのはどれか。,先端肥大症(先端巨大症),副腎皮質機能亢進症,糖尿病,甲状腺機能低下症,上皮小体機能亢進症,4,4,甲状腺機能低下症
69,75,A,75-A-069,犬でチアノーゼの原因となる疾患・病態として最も適切なのはどれか。（2つ選びなさい。）,真性多血症,大動脈狭窄症,免疫介在性溶血性貧血,喉頭麻痺,アイゼンメンガー症候群,5,"4, 5","喉頭麻痺,アイゼンメンガー症候群"
70,75,A,75-A-070,高カルシウム血症を伴う疾患・病態として最も適切なのはどれか。,産褥テタニー,副腎皮質機能亢進症,腫瘍崩壊症候群,特発性腸リンパ管拡張症,ビタミンD過剰症,5,5,ビタミンD過剰症
71,75,A,75-A-071,非再生性貧血がみられる牛の疾患はどれか。,ワラビ中毒,産褥性血色素尿症,アナプラズマ症,タイレリア症,バンド3欠損症,1,1,ワラビ中毒
72,75,A,75-A-072,MRI検査に関する記述として適切なのはどれか。,正常な鼓室胞はT1強調画像で高信号に描出される。,正常な脳室はT2強調画像で低信号に描出される。,正常な脳室はFLAIR画像で高信号に描出される。,超伝導磁石型装置では撮影していない時にも磁場が生じている。,放射線被ばくが生じることがある。,4,4,超伝導磁石型装置では撮影していない時にも磁場が生じている。
73,75,A,75-A-073,CT値が最も高いのはどれか。,唾液腺,甲状腺,肝実質,腎皮質,大脳皮質,2,2,甲状腺
74,75,A,75-A-074,創の清浄化に関する記述として適当なのはどれか。（2つ選びなさい。）,エタノールは芽胞菌に有効である。,100%エタノールは70%のものより殺菌効果が高い。,ポビドンヨードは有機物の存在により活性が減弱する。,クロルヘキシジンは皮膚への残留効果がある。,感染創の洗浄に水道水は禁忌である。,4,"3, 4","ポビドンヨードは有機物の存在により活性が減弱する。,クロルヘキシジンは皮膚への残留効果がある。"
75,75,A,75-A-075,創傷治癒を遅延させる要因でないのはどれか。,虚血,湿潤,感染,グルココルチコイド投与,放射線照射,2,2,湿潤
76,75,A,75-A-076,犬の自家海綿骨の採取部位として適当でないのはどれか。,上腕骨近位部,脛骨近位部,大腿骨遠位部,腸骨翼部,肩甲骨体部,5,5,肩甲骨体部
77,75,A,75-A-077,冷性浮腫が認められる牛の疾患として適当なのはどれか。（2つ選びなさい。）,創傷性心膜炎,拡張型心筋症,乳熱(分娩性低Ca血症),脂肪肝,第四胃変位,1,"1, 2","創傷性心膜炎,拡張型心筋症"
78,75,A,75-A-078,メラトニンに関する記述として正しいのはどれか。,暗期に合成が促進される。,アミノ酸である。,チロシンからセロトニンを経て合成される。,下垂体後葉で産生される。,性腺に直接的に作用する。,1,1,暗期に合成が促進される。
79,75,A,75-A-079,血管筋肉質型の陰茎を持つ動物はどれか。（2つ選びなさい。）,馬,牛,山羊,豚,犬,2,"1, 5","馬,犬"
80,75,A,75-A-080,牛で帝王切開をする際に子宮を弛緩させる目的で用いるのはどれか。,オキシトシン,安息香酸エストラジオール,クレンブテロール,ジノプロスト,ヘパリン,3,3,クレンブテロール
1,76,A,76-A-001,哺乳類家畜の消化器に関する記述として正しいのはどれか。（2つ選びなさい。）,固有食道腺は主に漿液細胞から構成される。,馬の胃のヒダ状縁は幽門部にある。,牛は盲腸膨起がある。,犬は総肝管をもたない。,副膵管は胎子の背側膵芽の導管に由来する。,5,"4, 5","犬は総肝管をもたない。,副膵管は胎子の背側膵芽の導管に由来する。"
2,76,A,76-A-002,哺乳類家畜の泌尿器に関する記述として正しいのはどれか。（2つ選びなさい。）,犬の左腎臓は右腎臓より頭側に位置する。,豚の腎髄質には複数の腎錐体が存在する。,腎皮質の間質細胞はエリスロポエチンを合成する。,遠位直尿細管はネフロンループ下行部を形成する。,成体の腎臓は胎子の中腎に由来する。,3,"2, 3","豚の腎髄質には複数の腎錐体が存在する。,腎皮質の間質細胞はエリスロポエチンを合成する。"
3,76,A,76-A-003,哺乳類家畜の感覚器に関する記述として正しいのはどれか。（2つ選びなさい。）,網膜の色素細胞は血液−網膜関門を形成する。,輝板は強膜に位置する。,胎子の眼胞は茎により中脳とつながる。,蝸牛の鼓室階は内リンパで満たされる。,半規管の有毛細胞は膨大部稜に存在する。,2,"1, 5","網膜の色素細胞は血液−網膜関門を形成する。,半規管の有毛細胞は膨大部稜に存在する。"
4,76,A,76-A-004,哺乳類家畜の末梢神経系に関する記述として正しいのはどれか。（2つ選びなさい。）,無髄神経線維では一つの鞘細胞(シュワン細胞)が複数の軸索を包む。,肋間神経は肋骨後縁に沿って走る。,橈骨神経は深指屈筋を支配する。,迷走神経は頸動脈小体に分布する。,翼口蓋神経節は交感神経節である。,1,"1, 2","無髄神経線維では一つの鞘細胞(シュワン細胞)が複数の軸索を包む。,肋間神経は肋骨後縁に沿って走る。"
5,76,A,76-A-005,鶏の解剖学的特徴に関する記述として正しいのはどれか。（2つ選びなさい。）,鎖骨は胸骨と関節する。,嗉囊は胸郭の入口近くに位置する。,胸腺は頸静脈に沿って分布する。,腹気囊は不対性である。,メッケル憩室は十二指腸に存在する。,3,"2, 3","嗉囊は胸郭の入口近くに位置する。,胸腺は頸静脈に沿って分布する。"
6,76,A,76-A-006,哺乳類家畜の胸部器官に関する記述として正しいのはどれか。（2つ選びなさい。）,犬の心臓前縁は第五肋骨近くに位置する。,壁側胸膜の前端は第一肋骨の後方に位置する。,牛の左奇静脈は前大静脈に開口する。,内胸動脈は鎖骨下動脈から分枝する。,大動脈は横隔膜の左脚と右脚の間を通る。,5,"4, 5","内胸動脈は鎖骨下動脈から分枝する。,大動脈は横隔膜の左脚と右脚の間を通る。"
7,76,A,76-A-007,犬の後肢に関する記述として正しいのはどれか。（2つ選びなさい。）,大腿直筋は腸骨体に起始する。,総腓骨神経は下腿骨間隙を通る。,膝関節の半月は弾性軟骨から形成される。,内側伏在静脈は膝窩静脈に開口する。,伏在神経は大腿内側の皮膚感覚を支配する。,2,"1, 5","大腿直筋は腸骨体に起始する。,伏在神経は大腿内側の皮膚感覚を支配する。"
8,76,A,76-A-008,哺乳類家畜の内分泌器官に関する記述として正しいのはどれか。,副腎髄質は内胚葉由来の組織である。,犬には内上皮小体がない。,腺性下垂体の酸好性細胞には成長ホルモン産生細胞が含まれる。,神経性下垂体でみられる後葉細胞は神経細胞である。,副腎皮質網状帯の皮質細胞は鉱質コルチコイドを産生する。,3,3,腺性下垂体の酸好性細胞には成長ホルモン産生細胞が含まれる。
9,76,A,76-A-009,哺乳類家畜の呼吸器系に関する記述として正しいのはどれか。（2つ選びなさい。）,牛の左肺前葉には気管の気管支が入る。,終末細気管支の粘膜上皮は偽重層上皮である。,豚の外鼻は鼻平面を作る。,大肺胞上皮細胞の細胞質内には層板小体がみられる。,肺の副葉は縦隔陥凹に収容される。,5,"4, 5","大肺胞上皮細胞の細胞質内には層板小体がみられる。,肺の副葉は縦隔陥凹に収容される。"
10,76,A,76-A-010,哺乳類家畜の生殖器系に関する記述として正しいのはどれか。,豚の精囊腺はその形状から精囊とよばれる。,陰茎海綿体にみられる海綿体洞は静脈洞である。,犬の腟前庭には大前庭腺が発達する。,透明帯は一次卵胞で出現する。,精管の粘膜には発達した線毛上皮が認められる。,2,2,陰茎海綿体にみられる海綿体洞は静脈洞である。
11,76,A,76-A-011,哺乳類家畜において前肢を前方へ引く筋はどれか。（2つ選びなさい。）,深胸筋,僧帽筋,菱形筋,広背筋,胸骨頭筋,3,"2, 3","僧帽筋,菱形筋"
12,76,A,76-A-012,一酸化窒素(NO)に関する記述として正しいのはどれか。,細胞膜上の受容体を介して細胞内に情報を伝達する。,NO合成酵素によりメチオニンから合成される。,細胞内のアデニル酸シクラーゼを活性化する。,血管内皮細胞から放出されたNOは血管平滑筋を弛緩させる。,神経で合成されたNOは神経終末の小胞に貯蔵される。,4,4,血管内皮細胞から放出されたNOは血管平滑筋を弛緩させる。
13,76,A,76-A-013,視床下部に存在するのはどれか。,嘔吐中枢,心臓抑制中枢,血管運動中枢,体温調節中枢,嚥下中枢,4,4,体温調節中枢
14,76,A,76-A-014,ビタミンD 3 の水酸化に関与するのはどれか。（2つ選びなさい。）,肝臓,小腸,甲状腺,皮膚,腎臓,2,"1, 5","肝臓,腎臓"
15,76,A,76-A-015,内分泌器官でないのはどれか。,胃,腎臓,心臓,膵臓,脾臓,5,5,脾臓
16,76,A,76-A-016,自律神経の二重支配を受けているのはどれか。,汗腺,副腎髄質,立毛筋,瞳孔括約筋,唾液腺,5,5,唾液腺
17,76,A,76-A-017,イオンチャネル共役型の味覚受容体が感知する基本味はどれか。（2つ選びなさい。）,甘味,酸味,塩味,苦味,うま味,3,"2, 3","酸味,塩味"
18,76,A,76-A-018,皮膚感覚の受容器でないのはどれか。,マイスネル小体,パチニ小体,メルケル細胞,メサンギウム細胞,ルフィニ小体,4,4,メサンギウム細胞
19,76,A,76-A-019,交尾排卵動物はどれか。（2つ選びなさい。）,サル,犬,猫,フェレット,ラット,4,"3, 4","猫,フェレット"
20,76,A,76-A-020,呼吸に関する記述として誤っているのはどれか。,呼吸に重要な胸郭は肋間筋や横隔膜などで囲まれている。,横隔膜が収縮すると、肺が収縮して呼気が発生する。,呼吸調節中枢は脳幹の橋に存在する。,血中の酸素分圧や二酸化炭素分圧の変化は化学受容器で感知される。,へーリング−ブロイエル反射では、肺の拡張後に吸息が抑制される。,2,2,横隔膜が収縮すると、肺が収縮して呼気が発生する。
21,76,A,76-A-021,神経筋接合部において終板電位を発生させるのはどれか。,電位依存性Na+チャネル,電位依存性Ca2+チャネル,リアノジン感受性Ca2+チャネル,ニコチン受容体,グルタミン酸受容体,4,4,ニコチン受容体
22,76,A,76-A-022,肝臓で合成されたトリアシルグリセロールを末梢組織に輸送するのはどれか。,キロミクロン,アダプタータンパク質,超低密度リポタンパク質(VLDL),低密度リポタンパク質(LDL),高密度リポタンパク質(HDL),3,3,超低密度リポタンパク質(VLDL)
23,76,A,76-A-023,糖新生の基質にならないのはどれか。,酢酸,乳酸,ピルビン酸,グリセロール,プロピオン酸,1,1,酢酸
24,76,A,76-A-024,酵素活性の負のアロステリック効果に関する記述として適切なのはどれか。,基質に直接結合して酵素への結合を妨げる。,遺伝子合成の阻害により酵素の生成を妨げる。,プロテアーゼを活性化して酵素の分解を促進する。,基質の結合部位とは別の部位に結合して酵素活性を抑制する。,補酵素の働きにより酵素活性が低下する。,4,4,基質の結合部位とは別の部位に結合して酵素活性を抑制する。
25,76,A,76-A-025,シロドシンが前立腺肥大に伴う排尿障害を改善する作用機序はどれか。,ホスホジエステラーゼの阻害,α1 アドレナリン受容体の阻害,М3 アセチルコリン受容体の阻害,コリンエステラーゼの阻害,β アドレナリン受容体の阻害,2,2,α1 アドレナリン受容体の阻害
26,76,A,76-A-026,"中枢神経興奮薬とその作用機序の組合せとして正しいのはどれか。
薬物　－　作用機序",カフェイン 　－　グリシン受容体の阻害,テオブロミン 　－　ノルアドレナリンの放出促進,テオフィリン 　－　ホスホジエステラーゼの阻害,メタンフェタミン 　－　GABA A受容体の阻害,ストリキニーネ 　－　ドパミンの放出阻害,3,3,テオフィリン 　－　ホスホジエステラーゼの阻害
27,76,A,76-A-027,糖尿病治療薬に関する記述として正しいのはどれか。,トルブタミドはNa+−グルコース共輸送体を阻害する。,メトホルミンはATP感受性K+チャネルを阻害する。,アカルボースはα−グルコシダーゼを阻害する。,ピオグリタゾンはAMP依存性プロテインキナーゼ活性を増大する。,グリピジドは核内転写因子ペルオキシソーム増殖活性化受容体を刺激する。,3,3,アカルボースはα−グルコシダーゼを阻害する。
28,76,A,76-A-028,非麻薬性鎮痛薬はどれか。（2つ選びなさい。）,ジヒドロコデイン,ブトルファノール,ペンタゾシン,フェンタニル,ペチジン,3,"2, 3","ブトルファノール,ペンタゾシン"
29,76,A,76-A-029,"抗菌薬とその作用機序の組合せとして正しいのはどれか。
抗菌薬　－　作用機序",エリスロマイシン 　－　DNAジャイレースの阻害,ストレプトマイシン 　－　エルゴステロールの合成阻害,セファレキシン 　－　tRNAの転移阻害,クロラムフェニコール 　－　ペプチジルトランスフェラーゼの阻害,エンロフロキサシン 　－　ペプチドグリカンの合成阻害,4,4,クロラムフェニコール 　－　ペプチジルトランスフェラーゼの阻害
30,76,A,76-A-030,抗てんかん薬はどれか。（2つ選びなさい。）,アミトリプチリン,フルボキサミン,フェノバルビタール,臭化カリウム,フィプロニル,4,"3, 4","フェノバルビタール,臭化カリウム"
31,76,A,76-A-031,プロトンポンプを阻害する抗潰瘍薬はどれか。,オメプラゾール,ラニチジン,ガストリン,ケイ酸マグネシウム,ミソプロストール,1,1,オメプラゾール
32,76,A,76-A-032,イベルメクチンによる犬の神経毒性の原因はどれか。,アストロサイトの分化抑制,神経髄鞘の脱落変性,電位依存性Na+チャネルの持続的開口,コリン作動性神経からのアセチルコリン放出阻害,P糖タンパク質をコードする遺伝子の変異,5,5,P糖タンパク質をコードする遺伝子の変異
33,76,A,76-A-033,"中毒とその原因物質の組合せとして正しいのはどれか。
中毒 原因物質（2つ選びなさい。）",ワラビ中毒 　－　有機チオ硫酸化合物,殺鼠剤中毒 　－　プタキロサイド,トリカブト中毒 　－　アコニチン,スイートクローバー中毒 　－　ジクマロール,タマネギ中毒 　－　ワルファリン,4,"3, 4","トリカブト中毒 　－　アコニチン,スイートクローバー中毒 　－　ジクマロール"
34,76,A,76-A-034,"反芻動物の単眼症などの顔面奇形の原因となるバイケイソウに含まれる物質は
どれか。",ジエチルスチルベストロール(DES),ヒヨスチアミン,サイカシン,ストロファンタス,ベラトラムアルカロイド,5,5,ベラトラムアルカロイド
35,76,A,76-A-035,ソリブジンにより毒性が増強する抗腫瘍薬はどれか。,5−フルオロウラシル,シクロホスファミド,メトトレキサート,イマチニブ,メルファラン,1,1,5−フルオロウラシル
36,76,A,76-A-036,皮膚の粘液水腫の発生要因として正しいのはどれか。,うっ血性心不全,慢性肝不全,急性糸球体腎炎,甲状腺機能低下症,長期の低栄養,4,4,甲状腺機能低下症
37,76,A,76-A-037,アミロイド沈着を認める猫の疾患はどれか。,2型糖尿病,肥大型心筋症,腸原発リンパ腫,黄色腫,肝リピドーシス,1,1,2型糖尿病
38,76,A,76-A-038,糖原蓄積病はどれか。,ゴーシェ病,糖尿病,ポンペ病,クラッベ病,痛風,3,3,ポンペ病
39,76,A,76-A-039,犬のB細胞に発現する表面分子はどれか。,CD3,CD8,CD20,CD117(c−kit),CD204,3,3,CD20
40,76,A,76-A-040,死後変化はどれか。（2つ選びなさい。）,脳軟化,肺の肝変,胆汁浸染,仮性メラノーシス,にくずく肝,4,"3, 4","胆汁浸染,仮性メラノーシス"
41,76,A,76-A-041,脂腺に由来する犬の腫瘍はどれか。,肛門囊腺癌,扁平上皮癌,肝様腺腫(肛門周囲腺腫),耳垢腺腫,毛芽腫,3,3,肝様腺腫(肛門周囲腺腫)
42,76,A,76-A-042,フリーラジカルはどれか。（2つ選びなさい。）,過酸化水素,一重項酸素,スーパーオキシド,ヒドロキシ(ル)ラジカル,ペロオキシナイトライト,4,"3, 4","スーパーオキシド,ヒドロキシ(ル)ラジカル"
43,76,A,76-A-043,III型アレルギーはどれか。（2つ選びなさい。）,アルサス反応,尋常性天疱瘡,接触性皮膚炎,ツベルクリン反応,膜性腎症,2,"1, 5","アルサス反応,膜性腎症"
44,76,A,76-A-044,フェレットに好発する腫瘍はどれか。（2つ選びなさい。）,副腎皮質腫瘍,乳腺腫瘍,精上皮腫,セルトリ細胞腫,インスリノーマ,2,"1, 5","副腎皮質腫瘍,インスリノーマ"
45,76,A,76-A-045,逆転写酵素をもつウイルスはどれか。（2つ選びなさい。）,B型肝炎ウイルス,馬伝染性貧血ウイルス,牛痘ウイルス,狂犬病ウイルス,豚サイトメガロウイルス,1,"1, 2","B型肝炎ウイルス,馬伝染性貧血ウイルス"
46,76,A,76-A-046,オルトヘルペス(旧ヘルペス)ウイルス科のウイルスによる感染症はどれか。,鶏白血病,鶏脳脊髄炎,鶏封入体肝炎,ニューカッスル病,マレック病,5,5,マレック病
47,76,A,76-A-047,サルコイドの起因ウイルスはどれか。,牛パピローマウイルス,馬パピローマウイルス,犬パピローマウイルス,猫パピローマウイルス,ショープ乳頭腫ウイルス,1,1,牛パピローマウイルス
48,76,A,76-A-048,遺伝子交雑(再集合)を起こすウイルスはどれか。,猫汎白血球減少症ウイルス,犬ジステンパーウイルス,リフトバレー熱ウイルス,豚伝染性胃腸炎ウイルス,あひるB型肝炎ウイルス,3,3,リフトバレー熱ウイルス
49,76,A,76-A-049,ウイルスの増殖に関する記述として正しいのはどれか。（2つ選びなさい。）,必ず生細胞が必要である。,必ず細胞質内で増殖する。,必ず細胞のRNAポリメラーゼが使われる。,必ず出芽により細胞外に放出される。,必ず暗黒期がある。,2,"1, 5","必ず生細胞が必要である。,必ず暗黒期がある。"
50,76,A,76-A-050,mRNAワクチンの作用機序として最も適当なのはどれか。,インターフェロンの誘導,ウイルスゲノムの複製阻害,液性免疫の誘導,感染細胞のアポトーシス誘導,ウイルス遺伝子の転写阻害,3,3,液性免疫の誘導
51,76,A,76-A-051,エンドトキシン(内毒素)として作用する細菌の細胞壁成分はどれか。,リピドA,タイコ酸,ポーリン,コア多糖,糖鎖,1,1,リピドA
53,76,A,76-A-053,炭疽菌に関する記述として正しいのはどれか。,莢膜が病原因子である。,テタノスパスミンが毒素である。,セレウリドが毒素である。,エンテロトキシンが毒素である。,致死因子と浮腫因子の組合せで毒素活性を示す。,1,1,莢膜が病原因子である。
54,76,A,76-A-054,サルモネラ属菌の血清型を決定する抗原はどれか。,菌体抗原とべん毛抗原,菌体抗原と線毛抗原,菌体抗原と莢膜抗原,莢膜抗原と線毛抗原,莢膜抗原とべん毛抗原,1,1,菌体抗原とべん毛抗原
55,76,A,76-A-055,血管内吸血型の節足動物はどれか。（2つ選びなさい。）,サシバエ,ブユ,アブ,シラミ,ノミ,5,"4, 5","シラミ,ノミ"
56,76,A,76-A-056,終宿主がミラシジウム形成卵を排泄するのはどれか。（2つ選びなさい。）,肝吸虫(Clonorchis sinensis),膵蛭(Eurytrema pancreaticum),壺形吸虫(Pharyngostomum cordatum),浅田棘口吸虫(Echinostoma hortense),ウェステルマン肺吸虫(Paragonimus westermani),1,"1, 2","肝吸虫(Clonorchis sinensis),膵蛭(Eurytrema pancreaticum)"
57,76,A,76-A-057,雄成虫の尾部に交接嚢があるのはどれか。（2つ選びなさい。）,猫回虫(Toxocara cati),馬蟯虫(Oxyuris equi),ロデシア眼虫(Thelazia rhodesi),馬円虫(Strongylus equinus),牛捻転胃虫(Mecistocirrus digitatus),5,"4, 5","馬円虫(Strongylus equinus),牛捻転胃虫(Mecistocirrus digitatus)"
58,76,A,76-A-058,2倍体と3倍体の染色体数の個体が知られている寄生虫はどれか。,肝吸虫(Clonorchis sinensis),ウェステルマン肺吸虫(Paragonimus westermani),横川吸虫(Metagonimus yokogawai),槍形吸虫(Dicrocoelium dendriticum),日本住血吸虫(Schistosoma japonicum),2,2,ウェステルマン肺吸虫(Paragonimus westermani)
59,76,A,76-A-059,経乳感染するのはどれか。（2つ選びなさい。）,猫胃虫(Physaloptera praeputialis),犬糸状虫(Dirofilaria immitis),犬回虫(Toxocara canis),猫回虫(Toxocara cati),東洋眼虫(Thelazia callipaeda),4,"3, 4","犬回虫(Toxocara canis),猫回虫(Toxocara cati)"
60,76,A,76-A-060,イエバエ類が媒介するのはどれか。（2つ選びなさい。）,犬糸状虫(Dirofilaria immitis),指状糸状虫(Setaria digitata),沖縄糸状虫(Stephanofilaria okinawaensis),大口馬胃虫(Draschia megastoma),葉状条虫(Anoplocephala perfoliata),4,"3, 4","沖縄糸状虫(Stephanofilaria okinawaensis),大口馬胃虫(Draschia megastoma)"
61,76,A,76-A-061,雌成虫が幼虫を産出するのはどれか。（2つ選びなさい。）,犬鞭虫(Trichuris vulpis),犬回虫(Toxocara canis),犬鉤虫(Ancylostoma caninum),旋毛虫(Trichinella spiralis),犬糸状虫(Dirofilaria immitis),5,"4, 5","旋毛虫(Trichinella spiralis),犬糸状虫(Dirofilaria immitis)"
62,76,A,76-A-062,獣医師免許が法令上必要なのはどれか。（2つ選びなさい。）,食品衛生監視員,食鳥処理衛生管理者,と畜検査員,狂犬病予防員,動物愛護推進員,4,"3, 4","と畜検査員,狂犬病予防員"
